Insee;Nom;Altitude;code_postal;longitude_radian;latitude_radian;pop99;surface
69001;Affoux;400;69170;0.076886609158808;0.80014621688209;248;10.70
69002;Aigueperse;450;69790;0.077405351327262;0.80771898202076;232;12.98
69003;Albigny-sur-Saône;170;69250;0.084304253486357;0.80051952548788;2673;2.67
69004;Alix;280;69380;0.081235376448961;0.80133884699725;690;3.63
69005;Ambérieux;170;69480;0.082646194358808;0.80156668042851;427;4.59
69006;Amplepuis;420;69550;0.075601850314682;0.80238120824791;4948;38.80
69007;Ampuis;150;69420;0.083930944880554;0.793945445758;2178;15.51
69008;Ancy;500;69490;0.078685258224778;0.80003469701144;475;11.90
69009;Anse;187;69480;0.082365006159588;0.801726669831;4744;15.43
69010;L'Arbresle;240;69210;0.080580871321561;0.79998622747961;5777;3.29
69012;Les Ardillats;440;69430;0.079242799321364;0.80600277443529;483;22.95
69013;Arnas;185;69400;0.082146835009661;0.80331204962793;3106;17.79
69014;Aveize;190;69610;0.078137412699035;0.79732945797613;940;16.94
69015;Avenas;680;69430;0.080338482050471;0.80625970290145;106;9.52
69016;Azolette;580;69790;0.077104771986355;0.80622574759755;116;4.28
69017;Bagnols;400;69620;0.080411194670608;0.80140183075704;701;7.49
69018;Beaujeu;300;69430;0.08013971036461;0.8055518346837;1905;17.83
69019;Belleville;173;69220;0.082854653293134;0.80477132874724;5840;10.44
69020;Belmont-d'Azergues;320;69380;0.081502025453105;0.80054376025381;613;1.55
69021;Bessenay;413;69690;0.079460962148911;0.79895838045688;1830;14.05
69022;Bibost;440;69690;0.079334919727945;0.79933168906268;395;5.32
69023;Blacé;300;69460;0.081065691475631;0.8034429439955;1205;11.11
69024;Le Bois-d'Oingt;355;69620;0.080037886064807;0.80147460163382;1823;5.22
69025;Bourg-de-Thizy;389;69240;0.075015230827945;0.80347203903041;2670;14.43
69026;Le Breuil;240;69620;0.080057277206494;0.80100435396434;363;5.65
69027;Brignais;206;69530;0.083014651018;0.79717912253261;11207;10.31
69028;Brindas;325;69126;0.081928672182114;0.797993650352;4555;11.41
69029;Bron;200;69500;0.085685959716538;0.79819724901733;37369;10.28
69030;Brullioles;540;69690;0.078496182109759;0.79873054702563;574;12.53
69031;Brussieu;440;69690;0.078932516087234;0.79843480298657;752;6.89
69032;Bully;340;69210;0.079994251834821;0.8002625304427;1739;12.77
69033;Cailloux-sur-Fontaines;232;69270;0.085079949088113;0.80028683178764;2172;8.38
69034;Caluire-et-Cuire;250;69300;0.084667858198937;0.79932689537272;41233;10.38
69035;Cenves;600;69840;0.081143272687137;0.80754933865932;328;26.37
69036;Cercié;230;69220;0.081516581292938;0.80496041318463;856;5.01
69037;Chambost-Allières;342;69870;0.078501034056371;0.80322476452319;617;13.92
69038;Chambost-Longessaigne;560;69770;0.076227252084796;0.79892449173202;714;15.43
69039;Chamelet;312;69620;0.078738588025605;0.80258480691324;575;14.77
69040;Champagne-au-Mont-d'Or;283;69410;0.083635200841501;0.79930259402777;4955;2.58
69041;La Chapelle-de-Mardore;540;69240;0.075975158920485;0.80377257675942;157;5.78
69042;La Chapelle-sur-Coise;770;69590;0.078530112446522;0.79682039473376;382;6.65
69043;Chaponost;320;69630;0.082811019063148;0.79780456591461;7832;16.23
69044;Charbonnières-les-Bains;250;69260;0.082694680535404;0.79906990032753;4377;4.12
69045;Charentay;210;69220;0.081637771767294;0.80441739463837;993;13.98
69046;Charly;260;69390;0.083707930106397;0.79667005929024;3874;5.14
69047;Charnay;420;69380;0.081463243169731;0.80095581785347;964;7.31
69048;Chassagny;310;69700;0.082602560128824;0.79599621295542;1064;9.20
69049;Chasselay;235;69380;0.083286135323998;0.80066493408342;2590;12.94
